model_name,feature_set,status,train_seconds,selected_threshold,accuracy_selected,balanced_accuracy_selected,precision_selected,recall_selected,f1_selected,roc_auc,average_precision,accuracy_at_0_5,precision_at_0_5,recall_at_0_5,f1_at_0_5
CatBoost,raw+grouped,ok,232.397,0.564777,0.741411,0.624773,0.186733,0.479287,0.268756,0.688138,0.209795,0.634278,0.161297,0.640195,0.257673
XGBoost,raw+grouped,ok,20.222,0.587382,0.7709,0.615447,0.195722,0.421545,0.267326,0.685972,0.207431,0.637648,0.161452,0.632997,0.257281
LightGBM,raw+grouped,ok,16.062,0.56491,0.744566,0.622005,0.186566,0.46913,0.266964,0.685205,0.205119,0.642525,0.161896,0.6238,0.257074
RandomForest,raw+grouped,ok,106.545,0.544854,0.766832,0.615787,0.193693,0.427383,0.266574,0.683469,0.202672,0.693145,0.171849,0.548544,0.261709
RandomForest,grouped,ok,42.486,0.571637,0.757269,0.61233,0.186713,0.431542,0.260651,0.67651,0.19277,0.607913,0.153043,0.651631,0.247871
