model_name,feature_set,status,train_seconds,selected_threshold,accuracy_selected,balanced_accuracy_selected,precision_selected,recall_selected,f1_selected,roc_auc,average_precision,accuracy_at_0_5,precision_at_0_5,recall_at_0_5,f1_at_0_5
CatBoost,all_features_engineered,ok,714.097,0.572541,0.752369,0.622813,0.190582,0.461212,0.269713,0.687579,0.208972,0.635975,0.161694,0.638436,0.258036
XGBoost,all_features_engineered,ok,97.003,0.572258,0.753209,0.620682,0.189749,0.455374,0.267877,0.685814,0.207655,0.641312,0.161887,0.626679,0.257306
LightGBM,all_features_engineered,ok,51.726,0.573617,0.766348,0.616586,0.19393,0.429782,0.267263,0.683223,0.204742,0.656401,0.164399,0.603887,0.258441
RandomForest,all_features_engineered,ok,214.499,0.529715,0.753939,0.616567,0.187681,0.445218,0.264052,0.682496,0.203125,0.708853,0.175137,0.521993,0.262276
ExtraTrees,all_features_engineered,ok,321.211,0.544764,0.741807,0.619976,0.184245,0.46801,0.264402,0.681263,0.198967,0.669984,0.166575,0.581654,0.258982
